,Bank Name,Bank ID,Account Number,Entity ID,Entity Name
12,First Bank of Huron,1277,8007A7E80,8010F29F0,Partnership #1245
22,Savings Bank of Madison,11,800D80580,800074010,Partnership #70833
43,Oasis Credit Union,1291,801BA8590,8000B1AC0,Corporation #3925
45,Savings Bank of Hartford,32050,805669920,8015193D0,Sole Proprietorship #7146
63,Arbor Community Bank,21414,81599D320,800162DE0,Sole Proprietorship #22762
64,Savings Bank of Springfield,2860,800AD9620,8000F5A00,Partnership #55992
118,First Bank of Danbury,20,801200A50,80004F430,Sole Proprietorship #3086
183,Plandor Community Bank,1394,80F3AB980,8000C9FE0,Sole Proprietorship #62262
184,Bank of Philadelphia,1217,815526000,80009F8A0,Sole Proprietorship #22561
205,National Bank of Seattle,224,803907090,80008F680,Corporation #6206
226,Savings Bank of Miami,11701,80116DA20,80017C300,Corporation #9039
330,National Bank of Fairfield,1807,817238770,8012AB690,Sole Proprietorship #16497
340,Desert Savings Bank,21393,800B1C870,80014D860,Sole Proprietorship #51260
343,National Bank of Columbus,12,800500700,801340BE0,Sole Proprietorship #15640
350,National Bank of Philadelphia,1231,803026680,80153D250,Corporation #5454
361,Savings Bank of Detroit,394,80FD8C410,800BE4E30,Partnership #16682
382,Savings Bank of Watertown,1889,80863B190,8001A58C0,Partnership #52073
418,Sea Savings Bank,11968,801776130,801366500,Partnership #9068
422,Bank of Madison,1639,800EB32B0,8011BCA20,Sole Proprietorship #7021
432,First Bank of the West,11222,8144DEA30,8012EEE50,Corporation #24980
562,Flagstone Thrift,11265,800D60110,8010DCA70,Sole Proprietorship #18108
613,Bank of Miami,12063,8032F8E30,8013E23C0,Corporation #7554
711,Hearthstone Thrift,3618,80F1710F0,80135F020,Corporation #14012
717,National Bank of Albany,1638,8009B32F0,80135AAA0,Sole Proprietorship #1625
1047,The Pine Thrift,349,80080AC50,8000B9460,Partnership #51906
1144,Savings Bank of Sacramento,21566,811421C10,800171D60,Corporation #20242
1173,First Bank of Danbury,21939,81A62DAB0,800F27DB0,Partnership #4017
1225,National Bank of Philadelphia,11047,800AD90D0,8012BA500,Corporation #6969
1401,First Bank of Hartford,1422,80022C4D0,8000D58A0,Corporation #259
1429,First Bank of the South,1120,815AA33E0,800120020,Sole Proprietorship #74617
1464,National Bank of Lincoln,1439,8084ACB80,800FEE290,Partnership #11931
1596,Capital Trust Bank,1110,8008A2F60,801203B00,Partnership #7342
2969,Sea Bank,11495,80D7E7BC0,8014733E0,Corporation #17427
19826,First Bank of Portland,32081,8167E90E0,8012782E0,Corporation #6566
22793,Bank of Los Angeles,31993,800B63C60,801378840,Sole Proprietorship #9
28753,National Bank of New York,3402,80606F4E0,80148FD50,Corporation #50095
34703,Bank of New Orleans,32042,8114EF7F0,800DF3210,Partnership #14403
47409,Sappo Thrift,3814,80127F4A0,8011C1680,Corporation #18043
98644,Bank of Seattle,31813,8034738D0,801569CD0,Partnership #73610
112790,Bank of Helena,32091,800C7EF40,801446860,Partnership #2095
136599,First Bank of Houston,32161,805CF5700,80156B2F0,Sole Proprietorship #8489
179617,First Bank of Lincoln,31811,801142580,800F401B0,Partnership #2833
